Symbol,Name,Belonging_To_Sector,Key_Name,included_in_industries,children
NQUSB5520,Nasdaq US Benchmark Chemicals Index,NQUSB55,Chemicals,"NQUSB55,NQUSB5520","NQUSB55201000,NQUSB55201020,NQUSB55201015"
NQUSB5510,Nasdaq US Benchmark Basic Resources Index,NQUSB55,Basic Resources,"NQUSB55,NQUSB5510","NQUSB551010,NQUSB551020,NQUSB551030"
NQUSB5010,Nasdaq US Benchmark Construction and Materials Index,NQUSB50,Construction and Materials,"NQUSB50,NQUSB5010","NQUSB50101035,NQUSB50101010,NQUSB50101015,NQUSB50101020,NQUSB50101025"
NQUSB5020,Nasdaq US Benchmark Industrial Goods and Services Index,NQUSB50,Industrial Goods and Services,"NQUSB50,NQUSB5020","NQUSB502010,NQUSB502030,NQUSB502020,NQUSB502040,NQUSB502060,NQUSB502050"
NQUSB4010,Nasdaq US Benchmark Automobiles and Parts Index,NQUSB40,Automobiles and Parts,"NQUSB40,NQUSB4010","NQUSB40101025,NQUSB40101020"
NQUSB4510,"Nasdaq US Benchmark Food, Beverage and Tobacco Index",NQUSB45,"Food, Beverage and Tobacco","NQUSB45,NQUSB4510","NQUSB451010,NQUSB451020,NQUSB451030"
NQUSB4020,Nasdaq US Benchmark Consumer Products and Services Index,NQUSB40,Consumer Products and Services,"NQUSB40,NQUSB4020","NQUSB402020,NQUSB402030,NQUSB402040,NQUSB402010"
NQUSB4040,Nasdaq US Benchmark Retail Index,NQUSB40,Retail,"NQUSB40,NQUSB4040",NQUSB404010
NQUSB4030,Nasdaq US Benchmark Media Index,NQUSB40,Media,"NQUSB40,NQUSB4030","NQUSB40301020,NQUSB40301030,NQUSB40301010,NQUSB40301035"
NQUSB4050,Nasdaq US Benchmark Travel and Leisure Index,NQUSB40,Travel and Leisure,"NQUSB40,NQUSB4050","NQUSB40501010,NQUSB40501020,NQUSB40501025,NQUSB40501030,NQUSB40501040,NQUSB40501015"
NQUSB3010,Nasdaq US Benchmark Banks Index,NQUSB30,Banks,"NQUSB30,NQUSB3010",
NQUSB3030,Nasdaq US Benchmark Insurance Index,NQUSB30,Insurance,"NQUSB30,NQUSB3030","NQUSB303020,NQUSB303010"
NQUSB3020,Nasdaq US Benchmark Financial Services Index,NQUSB30,Financial Services,"NQUSB30,NQUSB3020","NQUSB302020,NQUSB302030,NQUSB302010"
NQUSB4520,"Nasdaq US Benchmark Personal Care, Drug and Grocery Stores Index",NQUSB45,"Personal Care, Drug and Grocery Stores","NQUSB45,NQUSB4520","NQUSB45201030,NQUSB45201020,NQUSB45201015,NQUSB45201010"
