Category,Industry,Stock_Count,Include top,Top_5_Stocks
Other,Advertising/Marketing Services,38,14,"OMC, IPG, WPP, WSHP, DJT"
Other,Aerospace & Defense,39,14,"GE, RTX, BA, HON, LMT"
Other,Agricultural Commodities/Milling,31,11,"CTVA, ADM, BG, PPC, SEB"
Other,Air Freight/Couriers,28,10,"DASH, UPS, FDX, GRAB, EXPD"
Other,Airlines,24,9,"DAL, RYAAY, UAL, LUV, LTM"
Other,Alternative Power Generation,10,5,"TLN, BIP, CWEN.A, CWEN, ENLT"
Other,Aluminum,5,5,"AA, CENX, CSTM, KALU, TG"
Other,Apparel/Footwear,37,13,"NKE, RL, LULU, ONON, DECK"
Other,Apparel/Footwear Retail,33,12,"TJX, ROST, TPR, BURL, GAP"
Other,Auto Parts/ OEM,37,13,"ITW, CMI, ITT, MGA, DCI"
Other,Automotive Aftermarket,5,5,"LKQ, DORM, GT, XPEL, SMP"
Other,Beverages/ Alcoholic,14,5,"BUD, DEO, ABEV, STZ, BF.B"
Other,Beverages/ Non-Alcoholic,14,5,"KO, MNST, CCEP, KDP, FMX"
Other,Biotechnology,39,14,"AMGN, GILD, ARGX, IQV, NTRA"
Other,Broadcasting,17,6,"FOXA, FOX, SIRI, NXST, TGNA"
Other,Building Products,22,8,"WSO, MAS, CSL, SPXC, AOS"
Other,Cable/Satellite TV,6,5,"CMCSA, WBD, CHTR, PSKY, CABO"
Other,Casinos/Gaming,14,5,"LVS, FLUT, WYNN, MGM, BYD"
Other,Catalog/Specialty Distribution,1,1,YJ
Other,Chemicals/ Agricultural,16,6,"NTR, CF, MOS, ICL, SMG"
Other,Chemicals/ Major Diversified,12,5,"DD, ESI, SSL, PRM, AVNT"
Other,Chemicals/ Specialty,39,14,"LIN, ECL, APD, DOW, SQM"
Other,Coal,11,5,"HCC, CNR, BTU, ARLP, AMR"
Other,Commercial Printing/Forms,13,5,"WMG, BZ, CMPO, CMPR, DLX"
Technology,Computer Communications,14,5,"RDWR, ALLT, SMRT, GNSS, SILC"
Technology,Computer Peripherals,21,8,"ANET, STX, WDC, SNDK, PSTG"
Technology,Computer Processing Hardware,13,5,"SONY, DELL, HPE, SMCI, IONQ"
Other,Construction Materials,16,6,"CRH, VMC, MLM, AMRZ, CX"
Other,Consumer Sundries,4,4,"CENT, CENTA, DOGZ, FMFC"
Other,Containers/Packaging,21,8,"AMCR, SW, PKG, BALL, CCK"
Other,Contract Drilling,11,5,"SLB, BKR, NE, RIG, VAL"
Technology,Data Processing Services,39,14,"MSCI, PAYX, VRSK, TYL, GDDY"
Other,Department Stores,6,5,"PDD, DDS, OLLI, M, KSS"
Other,Discount Stores,3,3,"DG, DLTR, FIVE"
Other,Drugstore Chains,2,2,"CVS, GRDN"
Other,Electric Utilities,39,14,"NEE, CEG, SO, DUK, NGG"
Other,Electrical Products,39,14,"GEV, ETN, AME, ROK, HUBB"
Technology,Electronic Components,23,9,"APH, GLW, CLS, NVT, TTMI"
Technology,Electronic Equipment/Instruments,39,14,"EMR, KEYS, FTV, Q, NXT"
Technology,Electronic Production Equipment,28,10,"VRT, TER, BE, FLEX, SANM"
Technology,Electronics Distributors,10,5,"SNX, ARW, REZI, AVT, SCSC"
Technology,Electronics/Appliance Stores,4,4,"BBY, GME, PLBL, RERE"
Technology,Electronics/Appliances,22,8,"SN, WHR, SONO, IMAX, SPB"
Other,Engineering & Construction,39,14,"PWR, FER, OTIS, FIX, EME"
Other,Environmental Services,16,6,"WM, RSG, WCN, GFL, CLH"
Other,Finance/Rental/Leasing,39,14,"V, MA, AXP, RKT, URI"
Other,Financial Conglomerates,39,14,"RPRX, BMNR, MAIN, KYIV, JCAP"
Other,Financial Publishing/Services,5,5,"SPGI, MCO, FICO, EFX, TRU"
Other,Food Distributors,12,5,"SYY, USFD, CHEF, UNFI, DOLE"
Other,Food Retail,14,5,"KR, ACI, SFM, TBBB, WMK"
Other,Food/ Major Diversified,12,5,"KHC, GIS, CAG, CHA, SMPL"
Other,Food/ Meat/Fish/Dairy,9,5,"TSN, JBS, HRL, SFD, MAMA"
Other,Food/ Specialty/Candy,39,14,"PEP, MDLZ, HSY, K, MKC"
Other,Forest Products,6,5,"LPX, UFPI, WFG, TREX, JELD"
Other,Gas Distributors,21,8,"SRE, TRGP, ATO, CQP, NI"
Other,Home Furnishings,20,7,"SGI, LZB, ARHS, MBC, LEG"
Other,Home Improvement Chains,7,5,"HD, LOW, BLDR, FND, ZKH"
Other,Homebuilding,25,9,"DHI, LEN, LEN.B, PHM, NVR"
Other,Hospital/Nursing Management,13,5,"HCA, THC, UHS, CHE, PACS"
Other,Hotels/Resorts/Cruise lines,25,9,"MAR, RCL, ABNB, HLT, CUK"
Other,Household/Personal Care,24,9,"PG, UL, CL, KMB, EL"
Other,Industrial Conglomerates,4,4,"MMM, RLX, HI, ISPR"
Other,Industrial Machinery,39,14,"AMAT, LRCX, PH, TT, JCI"
Other,Industrial Specialties,18,7,"SHW, PPG, RPM, AXTA, CSW"
Technology,Information Technology Services,39,14,"IBM, ACN, INFY, NET, FTNT"
Other,Insurance Brokers/Services,20,7,"MMC, AON, AJG, WTW, BRO"
Other,Integrated Oil,39,14,"XOM, CVX, SHEL, TTE, BP"
Technology,Internet Retail,37,13,"AMZN, BABA, MELI, SE, CPNG"
Technology,Internet Software/Services,39,14,"GOOGL, GOOG, META, NFLX, SPOT"
Other,Investment Banks/Brokers,39,14,"GS, SCHW, HOOD, IBKR, CME"
Other,Investment Managers,39,14,"MS, BX, BLK, UBS, BN"
Other,Investment Trusts/Mutual Funds,39,14,"TPL, VNOM, BXSL, FSK, BSM"
Other,Life/Health Insurance,12,5,"PRU, CRBG, EQH, RGA, PRI"
Other,Major Banks,39,14,"JPM, BAC, WFC, HSBC, RY"
Other,Major Telecommunications,20,7,"CHT, BCE, FYBR, LUMN, KT"
Other,Managed Health Care,9,5,"UNH, ELV, CI, HUM, CNC"
Other,Marine Shipping,39,14,"KEX, FRO, MATX, HAFN, STNG"
Other,Media Conglomerates,3,3,"SPHR, THH, FTRK"
Other,Medical Distributors,10,5,"MCK, COR, CAH, HSIC, POM"
Other,Medical Specialties,39,14,"ABT, TMO, ISRG, DHR, BSX"
Other,Medical/Nursing Services,39,14,"LH, SOLV, GH, FMS, EHC"
Other,Metal Fabrication,19,7,"RBC, MLI, VMI, USAR, ROCK"
Other,Miscellaneous,9,5,"LMB, PANL, INV, ALPS, YOUL"
Other,Miscellaneous Commercial Services,39,14,"SHOP, RELX, PYPL, XYZ, FISV"
Other,Miscellaneous Manufacturing,13,5,"WMS, AWI, BRC, YETI, LCII"
Other,Motor Vehicles,39,14,"TSLA, TM, RACE, GM, F"
Other,Movies/Entertainment,39,14,"DIS, TKO, LYV, DKNG, CHDN"
Other,Multi-Line Insurance,39,14,"PGR, MFC, AFL, ALL, MET"
Other,Office Equipment/Supplies,5,5,"HNI, SCS, MLKN, ACCO, VIRC"
Other,Oil & Gas Pipelines,26,10,"ENB, WMB, EPD, KMI, ET"
Other,Oil & Gas Production,39,14,"COP, FANG, WDS, AR, RRC"
Other,Oil Refining/Marketing,12,5,"MPC, E, PSX, VLO, DINO"
Other,Oilfield Services/Equipment,31,11,"HAL, FTI, NOV, WFRD, AROC"
Other,Other Consumer Services,39,14,"BKNG, CTAS, TCOM, EXPE, SCI"
Other,Other Consumer Specialties,5,5,"MSA, FWDI, ZEPP, MOV, FOSL"
Other,Other Metals/Minerals,39,14,"RIO, SCCO, FCX, CCJ, TECK"
Other,Other Transportation,17,6,"UBER, PFGC, PAC, ASR, SARO"
Technology,Packaged Software,39,14,"MSFT, ORCL, PLTR, SAP, CRM"
Other,Personnel Services,24,9,"KFY, RHI, UPWK, MAN, HSII"
Other,Pharmaceuticals/ Generic,1,1,TEVA
Other,Pharmaceuticals/ Major,39,14,"LLY, JNJ, ABBV, AZN, MRK"
Other,Pharmaceuticals/ Other,32,12,"RVMD, ABVX, CDTX, BRBR, BHC"
Other,Precious Metals,39,14,"NEM, AEM, B, WPM, AU"
Other,Property/Casualty Insurance,39,14,"BRK.A, BRK.B, CB, TRV, HIG"
Other,Publishing/ Books/Magazines,6,5,"PSO, WLY, WLYB, SCHL, VALU"
Other,Publishing/ Newspapers,7,5,"NWS, NWSA, NYT, TDAY, DJCO"
Other,Pulp & Paper,6,5,"IP, AVY, SUZ, SLVM, CLW"
Other,Railroads,6,5,"UNP, NSC, CSX, CP, CNI"
Other,Real Estate Development,39,14,"CBRE, BEKE, JLL, OPEN, FSV"
Other,Real Estate Investment Trusts,39,14,"WELL, PLD, AMT, EQIX, SPG"
Other,Recreational Products,27,10,"AS, HAS, MAT, THO, GOLF"
Other,Regional Banks,39,14,"IBN, NU, CM, USB, TFC"
Other,Restaurants,39,14,"MCD, SBUX, CMG, YUM, QSR"
Other,Savings Banks,39,14,"WBS, TFSL, WSFS, PFS, NWBI"
Technology,Semiconductors,39,14,"NVDA, AVGO, TSM, ASML, AMD"
Other,Services to the Health Industry,4,4,"DGX, ASTH, NRC, QIPT"
Other,Specialty Insurance,12,5,"FNF, ORI, FAF, ESNT, RDN"
Other,Specialty Stores,39,14,"WMT, COST, ORLY, CVNA, AZO"
Other,Specialty Telecommunications,10,5,"TEF, SATS, ASTS, PHI, IRDM"
Other,Steel,25,9,"BHP, VALE, NUE, MT, STLD"
Technology,Telecommunications Equipment,35,13,"AAPL, CSCO, MSI, GRMN, UI"
Other,Textiles,6,5,"AIN, MAGN, MAMK, UFI, CULP"
Other,Tobacco,4,4,"PM, BTI, MO, TPB"
Other,Tools & Hardware,5,5,"SNA, ALLE, SWK, EML, ILAG"
Other,Trucking,21,8,"ODFL, XPO, JBHT, SAIA, KNX"
Other,Trucks/Construction/Farm Machinery,32,12,"CAT, DE, PCAR, WAB, CNH"
Other,Water Utilities,13,5,"AWK, SBS, WTRG, AWR, CWT"
Other,Wholesale Distributors,39,14,"FERG, FAST, GWW, GPC, WCC"
Other,Wireless Telecommunications,22,8,"TMUS, T, VZ, AMX, VOD"
